source_meta_user_id,source_timestamp,no_of_events,source_data_network_public_ip,source_data_ssid,public_ip_user_count,source_data_device_model,source_data_device_name,device_model_user_count,device_name_user_count
6635740,2020-10-17T21:04:16.826000,4,113.161.30.33,empty,2704,"iPhone11,6",aVBob25lIGPhu6dhIE5oxrA=,225932,157
883344,2021-02-06T10:19:48.994000,1,113.161.30.33,empty,2704,"iPhone9,1",SMO0bmd6eSDwn4yI,41933,1
1349537,2021-05-01T16:15:39.532000,1,113.161.30.33,empty,2704,"iPhone12,5",TeG6uSBzw7Nj,141807,7
132595,2020-08-15T11:08:56.287000,10,113.161.30.33,empty,2704,"iPhone9,2",Sm9oYW5uYQ==,129245,1
4449736,2020-07-01T11:29:38.119000,53,113.161.30.33,.SCAN & GO.,2704,CPH2043,OP4B9EL1,4045,4045
1079475,2020-07-13T05:03:42.224000,3,113.161.30.33,empty,2704,"iPhone9,4",aVBob25lIE1pbmggVGh14bu3,175338,2
285460,2020-09-22T21:32:11.801000,7,113.161.30.33,empty,2704,"iPhone11,6",VlZW,225932,2
2645769,2020-09-27T18:44:55.096000,4,113.161.30.33,empty,2704,"iPhone8,1",aVBob25lIGPhu6dhIEFkbWluaXN0cmF0b3I=,115085,6925
82882,2020-08-30T17:11:17.346000,17,113.161.30.33,.SCAN & GO.,2704,"iPhone8,1",aVBob25lIGPhu6dhIEFkbWluaXN0cmF0b3I=,115085,6925
8565814,2020-11-27T10:01:49.563000,2,113.161.30.33,empty,2704,"iPhone11,6",aVBob25lIGPhu6dhIE3DqG8=,225932,52
9606835,2020-06-28T14:12:31.948000,1,113.161.30.33,.SCAN & GO.,2704,CPH1853,CPH1853,2122,2122
9959588,2020-07-27T10:35:19.222000,2,113.161.30.33,.SCAN & GO.,2704,F1w,F1f,1640,1663
10756374,2021-01-31T19:30:52.097000,1,113.161.30.33,empty,2704,"iPhone9,4",SGnhur91IFRo4bqjbw==,175338,12
173652,2020-12-27T17:13:03.999000,7,113.161.30.33,empty,2704,"iPhone12,5",aVBob25lIGPhu6dhIFR1eWV0,141807,157
520859,2020-06-27T08:22:44.867000,10,113.161.30.33,empty,2704,"iPhone10,2",VHJpbmggdHLDom4=,69558,1
8040378,2020-06-06T10:26:47.088000,18,113.161.30.33,empty,2704,Nokia 3.1 Plus,ROON_sprout,301,300
10689456,2021-01-12T13:32:06.723000,1,113.161.30.33,empty,2704,"iPhone12,5",SVAxMVBybw==,141807,2
3361911,2020-08-06T14:10:05.805000,1,113.161.30.33,.SCAN & GO.,2704,"iPhone7,1",TGnDqm4=,63673,147
475967,2020-10-10T10:43:09.236000,13,113.161.30.33,empty,2704,SM-J610F,j6primelte,11205,11256
501655,2020-07-12T08:09:53.059000,14,113.161.30.33,empty,2704,"iPhone7,1",S2hhbmggaGFp,63673,1
9152719,2020-09-21T09:20:35.766000,3,113.161.30.33,empty,2704,"iPhone7,2",aVBob25lIGPhu6dhIFZ1,88721,241
5636693,2020-07-13T21:01:07.858000,26,113.161.30.33,empty,2704,"iPhone11,6",U3V14oCZcyBpUGhvbmU=,225932,6
1737059,2020-09-15T10:10:55.902000,5,113.161.30.33,empty,2704,"iPhone11,6",UGjhu6VuZyBPYW5o4oCZcyBpUGhvbmU=,225932,1
4913341,2021-04-08T19:54:18.789000,1,113.161.30.33,empty,2704,"iPhone10,6",SXBob25lIG9mIFRyaW5o,104574,2
4738887,2020-06-29T18:44:11.366000,21,113.161.30.33,empty,2704,MI 8,dipper,4208,4211
553982,2020-08-20T19:18:37.968000,10,113.161.30.33,.SCAN & GO.,2704,CPH1609,CPH1609,7505,7505
777466,2020-09-12T15:46:09.901000,47,113.161.30.33,empty,2704,SM-G955U1,dream2qlteue,571,571
43165,2020-06-05T15:30:17.722000,67,113.161.30.33,empty,2704,Redmi Note 9S,curtana,7315,7335
1451514,2020-08-24T11:20:52.834000,31,113.161.30.33,empty,2704,"iPhone7,2",TkvigJlzIGlQaG9uZQ==,88721,6
7793910,2020-09-25T16:50:17.859000,1,113.161.30.33,empty,2704,"iPhone7,1",RmlvbmE=,63673,30
1356299,2020-07-13T17:10:07.593000,13,113.161.30.33,.SCAN & GO.,2704,"iPhone9,2",TWluaCBUw7o=,129245,41
5827200,2020-08-30T11:31:09.563000,1,113.161.30.33,empty,2704,SM-A505F,a50,34880,35107
9857288,2020-07-07T13:56:18.738000,16,113.161.30.33,empty,2704,SM-A505F,a50,34880,35107
1495910,2020-10-10T15:01:23.828000,2,113.161.30.33,empty,2704,"iPhone10,2",VHLGsMahbmcgVGjhu4sgVHV54bq/dA==,69558,2
7402222,2020-08-16T14:30:16.893000,33,113.161.30.33,empty,2704,SM-M205G,m20lte,8111,8118
6582784,2020-07-12T15:05:45.330000,8,113.161.30.33,empty,2704,SM-M205G,m20lte,8111,8118
755304,2020-09-30T17:35:24.633000,50,113.161.30.33,empty,2704,SM-A715F,a71,18783,18785
6425513,2020-06-06T17:39:55.875000,16,113.161.30.33,empty,2704,Redmi Note 8 Pro,begonia,12278,12139
541895,2021-04-11T20:02:55.370000,12,113.161.30.33,.SCAN & GO.,2704,SM-G973F,beyond1,7202,7645
7619248,2020-07-23T08:04:51.767000,19,113.161.30.33,.SCAN & GO.,2704,SM-A750GN,a7y18lte,31159,31251
228405,2020-06-11T20:18:28.607000,104,113.161.30.33,.SCAN & GO.,2704,SM-A750GN,a7y18lte,31159,31251
10399408,2020-10-19T20:25:21.240000,15,113.161.30.33,empty,2704,SM-A515F,a51,31100,31102
2241681,2021-08-01T10:13:39.180000,5,113.161.30.33,empty,2704,"iPhone12,5",WWVuc29u,141807,1
7213108,2020-09-24T16:57:55.976000,3,113.161.30.33,empty,2704,"iPhone11,6",aVBob25lIGPhu6dhIEFETUlO,225932,573
1175879,2021-02-28T16:44:16.682000,1,113.161.30.33,empty,2704,"iPhone12,1",aVBob25lICgyKQ==,106853,33980
1789501,2021-06-15T20:13:47.189000,4,113.161.30.33,.VM T??i Ngon Th??ng H?ng,2704,"iPhone8,2",aVBob25lICgyKQ==,146970,33980
5224563,2021-07-18T17:30:07.104000,3,113.161.30.33,empty,2704,"iPhone11,6",aVBob25lICgyKQ==,225932,33980
